Регион: все регионы
Показатель: Уровень резервирования по кредитному портфелю

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
136;5;Челябинвестбанк;493;Челябинская обл.;17,12;17,06;0,06;
137;-13;Дружба;990;Тюменская обл.;17,07;19,02;-1,95;
138;6;Дальневосточный Банк;843;Приморский край;16,96;16,99;-0,04;
139;6;Норвик Банк;902;Кировская обл.;16,63;16,54;0,09;
140;-14;Московский Коммерческий Банк;3172;Москва и обл.;16,62;18,86;-2,24;
141;-2;Костромаселькомбанк;1115;Костромская обл.;16,62;17,29;-0,67;
142;6;Майкопбанк;1136;Адыгея;16,41;15,92;0,49;
143;7;Евроальянс;1781;Ивановская обл.;16,35;15,88;0,46;
144;-4;Ноосфера;2650;Республика Алтай;16,26;17,24;-0,98;
145;1;Банк Открытие;2209;Москва и обл.;15,88;16,35;-0,46;
146;16;Тинькофф Банк;2673;Москва и обл.;15,88;15,16;0,72;
147;4;Таврический Банк;2304;Санкт-Петербург и обл.;15,81;15,88;-0,07;
148;-1;Энерготрансбанк;1307;Калининградская обл.;15,64;16,16;-0,52;
149;7;Транскапиталбанк;2210;Москва и обл.;15,61;15,55;0,07;
150;2;РЕСО Кредит;3450;Москва и обл.;15,56;15,85;-0,28;
151;15;Курган;2568;Курганская обл.;15,43;14,74;0,69;
152;2;Дом-Банк;3209;Москва и обл.;15,39;15,72;-0,33;
153;40;Солид Банк;1329;Приморский край;15,27;12,25;3,02;
154;9;Первый Дортрансбанк;3271;Кировская обл.;15,25;15,11;0,14;
155;0;Нефтепромбанк;2156;Москва и обл.;14,96;15,61;-0,65;
156;-3;МТИ Банк;1052;Москва и обл.;14,92;15,75;-0,84;
157;1;Рента-Банк;3095;Москва и обл.;14,87;15,43;-0,56;
158;14;Алтайкапиталбанк;2659;Алтайский край;14,83;14,32;0,51;
159;17;Оней Банк;3516;Москва и обл.;14,81;13,84;0,97;
160;0;Славия;2664;Москва и обл.;14,66;15,40;-0,74;
161;9;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;14,64;14,50;0,14;
162;9;Газтрансбанк;665;Краснодарский край;14,55;14,44;0,11;
163;15;Национальный Банк Сбережений;1949;Ивановская обл.;14,54;13,76;0,78;
164;3;Хлынов;254;Кировская обл.;14,53;14,61;-0,09;
165;-1;Ак Барс;2590;Татарстан;14,52;15,09;-0,57;
166;2;Континенталь;3184;Ставропольский край;14,33;14,51;-0,17;
167;-24;Приобье;537;Ханты-Мансийский АО — Югра;14,31;17,01;-2,70;
168;-3;Объединенный Банк Республики;1016;Чувашия;14,29;14,88;-0,59;
169;45;Акрополь;3027;Москва и обл.;14,08;11,41;2,67;
170;3;МТС Банк;2268;Москва и обл.;14,07;14,22;-0,14;
171;6;Банк Раунд;2506;Москва и обл.;14,02;13,77;0,25;
172;-3;Промсельхозбанк;538;Москва и обл.;13,96;14,50;-0,53;
173;29;Онего;2484;Карелия;13,72;11,98;1,74;
174;0;ИК Банк;1732;Татарстан;13,62;14,13;-0,51;
175;-14;Банк РСИ;3415;Москва и обл.;13,49;15,39;-1,90;
176;4;Кузнецкий;609;Пензенская обл.;13,43;13,39;0,04;
177;19;Газнефтьбанк;3223;Саратовская обл.;13,09;12,19;0,91;
178;3;Камский Коммерческий Банк;438;Татарстан;12,95;13,35;-0,39;
179;7;Роял Кредит Банк;783;Приморский край;12,94;12,63;0,31;
180;-1;Интерпрогрессбанк;600;Москва и обл.;12,90;13,62;-0,71;
181;4;Банк Зенит;3255;Москва и обл.;12,83;12,64;0,19;
182;26;Акибанк;2587;Татарстан;12,73;11,60;1,13;
183;22;Тамбовкредитпромбанк;1312;Тамбовская обл.;12,70;11,94;0,76;
184;3;ИТ Банк;2609;Омская обл.;12,65;12,58;0,07;
185;31;Балаково-Банк;444;Саратовская обл.;12,58;10,89;1,69;
186;4;Екатеринбург;3161;Свердловская обл.;12,54;12,32;0,21;
187;10;Банк Оренбург;3269;Оренбургская обл.;12,53;12,17;0,36;
188;6;Абсолют Банк;2306;Москва и обл.;12,47;12,23;0,24;
189;0;Кредит Европа Банк;3311;Москва и обл.;12,47;12,45;0,02;
190;-7;Экономбанк;1319;Саратовская обл.;12,37;12,74;-0,37;
191;-7;Банк Казани;708;Татарстан;12,30;12,65;-0,36;
192;-17;Северный Народный Банк;2721;Коми;12,28;14,11;-1,82;
193;11;Морской Банк;77;Москва и обл.;12,28;11,96;0,31;
194;4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;12,05;12,12;-0,07;
195;-7;Кубаньторгбанк;478;Краснодарский край;12,01;12,46;-0,45;
196;15;Белгородсоцбанк;760;Белгородская обл.;11,92;11,52;0,40;
197;-2;Ланта-Банк;1920;Москва и обл.;11,91;12,19;-0,28;
198;8;Реалист Банк;1067;Москва и обл.;11,87;11,88;-0,01;
199;-17;Бэнк оф Чайна;2309;Москва и обл.;11,80;12,74;-0,94;
200;9;Итуруп;2390;Сахалинская обл.;11,76;11,60;0,16;
201;-9;Фора-Банк;1885;Москва и обл.;11,70;12,29;-0,58;
202;11;Почта Банк;650;Москва и обл.;11,68;11,42;0,26;
203;-3;Банк Акцепт;567;Новосибирская обл.;11,67;12,04;-0,36;
204;-1;Владбизнесбанк;903;Владимирская обл.;11,64;11,97;-0,33;
205;13;МСП Банк;3340;Москва и обл.;11,57;10,81;0,75;
206;16;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;11,54;10,49;1,05;
207;5;Профессионал Банк;3296;Москва и обл.;11,47;11,46;0,01;
208;2;ФорБанк;2063;Москва и обл.;11,46;11,59;-0,13;
209;-18;БКС Банк;101;Москва и обл.;11,44;12,30;-0,86;
210;5;Локо-Банк;2707;Москва и обл.;11,30;11,17;0,13;
211;10;Санкт-Петербург;436;Санкт-Петербург и обл.;11,20;10,63;0,58;
212;-5;Автоградбанк;1455;Татарстан;11,20;11,79;-0,59;
213;87;Энергомашбанк;52;Санкт-Петербург и обл.;11,06;5,89;5,18;
214;3;Челиндбанк;485;Челябинская обл.;10,87;10,86;0,01;
215;4;Датабанк;646;Удмуртия;10,71;10,74;-0,02;
216;-17;Вятич;2796;Рязанская обл.;10,70;12,07;-1,37;
217;6;Совкомбанк;963;Костромская обл.;10,62;10,47;0,15;
218;2;Углеметбанк;2997;Челябинская обл.;10,53;10,67;-0,14;
219;-18;Республиканский Кредитный Альянс;3017;Москва и обл.;10,52;12,02;-1,51;
220;16;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;10,38;9,66;0,73;
221;9;Славянбанк;804;Новгородская обл.;10,36;10,06;0,30;
222;6;Ростфинанс;481;Ростовская обл.;10,31;10,18;0,13;
223;1;Альфа-Банк;1326;Москва и обл.;10,15;10,47;-0,32;
224;3;Инбанк;1829;Москва и обл.;10,12;10,22;-0,09;
225;1;Ури Банк;3479;Москва и обл.;10,12;10,28;-0,15;
226;11;Хоум Кредит Банк;316;Москва и обл.;9,93;9,57;0,37;
227;-2;Банк Оранжевый;1659;Санкт-Петербург и обл.;9,89;10,32;-0,43;
228;23;Тексбанк;2756;Карачаево-Черкесия;9,84;8,58;1,25;
229;2;Денизбанк Москва;3330;Москва и обл.;9,65;9,90;-0,25;
230;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;9,57;10,14;-0,57;
231;3;Хакасский Муниципальный Банк;1049;Хакасия;9,57;9,68;-0,11;
232;6;РНКБ;1354;Симферополь;9,50;9,47;0,02;
233;-1;НБД-Банк;1966;Нижегородская обл.;9,48;9,83;-0,36;
234;1;Новый Век;3417;Москва и обл.;9,37;9,67;-0,30;
235;5;БыстроБанк;1745;Удмуртия;9,36;9,35;0,01;
236;11;Прокоммерцбанк;2996;Москва и обл.;9,36;8,99;0,36;
237;9;Банк Пермь;875;Пермская обл.;9,32;9,00;0,32;
238;5;НС Банк;3124;Москва и обл.;9,20;9,13;0,08;
239;-6;Коммерческий Индо Банк;3446;Москва и обл.;9,10;9,74;-0,64;
240;1;Мегаполис;3265;Чувашия;9,10;9,26;-0,16;
241;8;Банк Финсервис;3388;Москва и обл.;9,05;8,74;0,32;
242;2;Кубань Кредит;2518;Краснодарский край;8,97;9,08;-0,11;
243;-1;Металлинвестбанк;2440;Москва и обл.;8,86;9,18;-0,32;
244;32;Первый Клиентский Банк;3436;Москва и обл.;8,84;7,34;1,49;
245;7;Венец;524;Ульяновская обл.;8,72;8,46;0,27;
246;-7;Агропромкредит;2880;Москва и обл.;8,67;9,42;-0,75;
247;130;Натиксис Банк;3390;Москва и обл.;8,61;0,24;8,37;
248;0;Экспобанк;2998;Москва и обл.;8,48;8,90;-0,42;
249;4;Банк Интеза;2216;Москва и обл.;8,43;8,40;0,03;
250;5;Пересвет;2110;Москва и обл.;8,41;8,22;0,19;
251;19;Кошелев-Банк;3300;Самарская обл.;8,23;7,62;0,62;
252;5;Национальный Стандарт;3421;Москва и обл.;8,18;8,16;0,02;
253;-8;Калуга;1151;Калужская обл.;8,13;9,06;-0,93;
254;6;НИКО-Банк;702;Оренбургская обл.;8,11;8,04;0,07;
255;12;Юг-Инвестбанк;2772;Краснодарский край;8,11;7,76;0,35;
256;16;Запсибкомбанк;918;Тюменская обл.;8,09;7,58;0,52;
257;6;КС Банк;1752;Мордовия;8,04;7,96;0,08;
258;4;Агророс;2860;Саратовская обл.;8,04;7,98;0,05;
259;-1;МБА-Москва;3395;Москва и обл.;7,98;8,09;-0,11;
260;5;Центр-инвест;2225;Ростовская обл.;7,97;7,93;0,04;
261;3;Кредит Урал Банк;2584;Челябинская обл.;7,94;7,96;-0,02;
262;7;Сетелем Банк;2168;Москва и обл.;7,92;7,63;0,30;
263;-13;СИАБ;3245;Санкт-Петербург и обл.;7,91;8,71;-0,79;
264;4;Новикомбанк;2546;Москва и обл.;7,77;7,72;0,05;
265;-6;Мерседес-Бенц Банк Рус;3473;Москва и обл.;7,73;8,05;-0,32;
266;-5;Русфинанс Банк;1792;Самарская обл.;7,62;7,99;-0,37;
267;56;Альтернатива;3452;Москва и обл.;7,55;4,91;2,64;
268;-2;Севергазбанк;2816;Вологодская обл.;7,51;7,81;-0,30;
269;27;Юнистрим;3467;Москва и обл.;7,49;6,03;1,46;
270;8;Индустриальный Сберегательный Банк;3175;Москва и обл.;7,37;7,29;0,08;
271;-15;Зираат Банк;2559;Москва и обл.;7,35;8,19;-0,83;
272;2;ББР Банк;2929;Москва и обл.;7,28;7,46;-0,18;
273;-2;СДМ-Банк;1637;Москва и обл.;7,24;7,59;-0,36;
274;-20;Первый Инвестиционный Банк;604;Москва и обл.;7,16;8,27;-1,11;
275;5;Руна-Банк;3207;Москва и обл.;7,15;6,94;0,21;
276;-3;СМП Банк;3368;Москва и обл.;7,15;7,51;-0,36;
277;6;ЮниКредит Банк;1;Москва и обл.;7,04;6,77;0,26;
278;1;ВУЗ-Банк;1557;Свердловская обл.;7,00;7,17;-0,17;
279;-2;Банк Глобус;2438;Москва и обл.;6,97;7,30;-0,34;
280;12;Банк Берейт;3505;Санкт-Петербург и обл.;6,96;6,34;0,63;
281;18;Банк БКФ;2684;Москва и обл.;6,82;5,90;0,91;
282;0;Трансстройбанк;2807;Москва и обл.;6,79;6,89;-0,09;
283;2;РН Банк;170;Москва и обл.;6,76;6,68;0,09;
284;0;СберБанк;1481;Москва и обл.;6,74;6,72;0,02;
285;4;Левобережный;1343;Новосибирская обл.;6,72;6,50;0,22;
286;0;Крона-Банк;2499;Иркутская обл.;6,64;6,64;0,01;
287;1;Киви Банк;2241;Москва и обл.;6,60;6,59;0,01;
288;2;Северстройбанк;3507;Вологодская обл.;6,38;6,46;-0,08;
289;-2;Максима;3379;Москва и обл.;6,29;6,59;-0,30;
290;59;Банк Фридом Финанс;1143;Москва и обл.;6,27;3,20;3,07;
291;2;НК Банк;2755;Москва и обл.;6,26;6,26;0,00;
292;11;Агора;3231;Москва и обл.;6,02;5,68;0,34;
293;4;Мобильная карта;3522;Санкт-Петербург и обл.;6,00;6,00;0,00;
294;0;Новобанк;1352;Новгородская обл.;5,92;6,24;-0,32;
295;3;Кузнецкбизнесбанк;1158;Кемеровская обл.;5,88;5,95;-0,07;
296;8;Плюс Банк;1189;Москва и обл.;5,84;5,60;0,24;
297;24;Александровский;53;Санкт-Петербург и обл.;5,75;4,94;0,81;
298;-3;Ишбанк;2867;Москва и обл.;5,73;6,04;-0,31;
299;2;Братский АНКБ;1144;Иркутская обл.;5,73;5,82;-0,08;
300;2;Газпромбанк;354;Москва и обл.;5,68;5,79;-0,11;
301;8;Газэнергобанк;3252;Калужская обл.;5,68;5,41;0,27;
302;5;Примсоцбанк;2733;Приморский край;5,66;5,47;0,20;
303;50;Кросна-Банк;2607;Москва и обл.;5,65;3,06;2,59;
304;-23;Спутник;1071;Самарская обл.;5,53;6,91;-1,38;
305;3;Россия;328;Санкт-Петербург и обл.;5,43;5,46;-0,03;
306;10;Международный Финансовый Клуб;2618;Москва и обл.;5,36;5,09;0,27;
307;4;БСТ-Банк;2883;Кемеровская обл.;5,22;5,37;-0,15;
308;16;Сибсоцбанк;2015;Алтайский край;5,21;4,91;0,31;
309;4;Райффайзенбанк;3292;Москва и обл.;5,20;5,33;-0,13;
310;5;Саммит Банк;85;Приморский край;5,17;5,24;-0,07;
311;-5;Росбанк;2272;Москва и обл.;5,13;5,49;-0,36;
312;-7;Холмск;503;Сахалинская обл.;5,08;5,58;-0,49;
313;15;Томскпромстройбанк;1720;Томская обл.;5,06;4,83;0,23;
314;-4;МС Банк Рус;2789;Москва и обл.;5,04;5,38;-0,34;
315;-1;Синко-Банк;2838;Москва и обл.;5,04;5,30;-0,26;
316;6;ВТБ;1000;Санкт-Петербург и обл.;5,03;4,92;0,11;
317;10;Енисейский Объединенный Банк;2645;Красноярский край;4,98;4,85;0,13;
318;1;Московский Кредитный Банк;1978;Москва и обл.;4,91;4,97;-0,06;
319;-7;Далена Банк;1948;Москва и обл.;4,89;5,34;-0,45;
320;-3;Росэксимбанк;2790;Москва и обл.;4,83;5,06;-0,23;
321;13;Саратов;330;Саратовская обл.;4,77;4,40;0,37;
322;4;Кузбассхимбанк;2868;Кемеровская обл.;4,75;4,86;-0,10;
323;8;Новокиб;1747;Кемеровская обл.;4,75;4,57;0,18;
324;5;Татсоцбанк;480;Татарстан;4,73;4,81;-0,08;
325;-7;Арзамас;1281;Нижегородская обл.;4,72;4,99;-0,27;
326;-1;Россельхозбанк;3349;Москва и обл.;4,69;4,87;-0,18;
