Регион: все регионы
Показатель: Рентабельность капитала

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
151;-6;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;6,56;6,49;0,07;
152;25;Всероссийский Банк Развития Регионов;3287;Москва и обл.;6,44;5,29;1,15;
153;8;Акибанк;2587;Татарстан;6,36;5,95;0,41;
154;12;Первый Клиентский Банк;3436;Москва и обл.;6,33;5,75;0,58;
155;-15;Бэнк оф Чайна;2309;Москва и обл.;6,32;6,97;-0,65;
156;-1;Татсоцбанк;480;Татарстан;6,25;6,26;-0,01;
157;-5;Финам Банк;2799;Москва и обл.;6,17;6,30;-0,13;
158;-21;СКБ-Банк;705;Свердловская обл.;6,03;7,36;-1,33;
159;-12;АвтоКредитБанк;1973;Татарстан;6,02;6,44;-0,42;
160;-16;Кузнецкбизнесбанк;1158;Кемеровская обл.;6,01;6,54;-0,53;
161;-15;Энерготрансбанк;1307;Калининградская обл.;5,98;6,49;-0,51;
162;-20;Александровский;53;Санкт-Петербург и обл.;5,97;6,62;-0,65;
163;-78;Русский Стандарт;2289;Москва и обл.;5,92;11,83;-5,91;
164;-23;Промсвязьинвест;2761;Дагестан;5,89;6,97;-1,08;
165;6;Мегаполис;3265;Чувашия;5,78;5,58;0,20;
166;-17;Проинвестбанк;784;Пермская обл.;5,78;6,39;-0,61;
167;-5;Банк Кремлевский;2905;Москва и обл.;5,70;5,88;-0,18;
168;0;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;5,68;5,67;0,01;
169;62;Фольксваген Банк Рус;3500;Москва и обл.;5,58;2,97;2,61;
170;9;Ак Барс;2590;Татарстан;5,45;5,23;0,22;
171;15;Уралпромбанк;2964;Челябинская обл.;5,45;4,70;0,75;
172;3;Элита;1399;Калужская обл.;5,45;5,33;0,12;
173;17;ЮниКредит Банк;1;Москва и обл.;5,36;4,39;0,97;
174;33;ЕАТП Банк;1765;Астраханская обл.;5,24;3,80;1,44;
175;-8;Крона-Банк;2499;Иркутская обл.;5,21;5,68;-0,47;
176;-6;Земский Банк;2900;Самарская обл.;5,16;5,60;-0,44;
177;4;Реалист Банк;1067;Москва и обл.;5,16;5,18;-0,02;
178;59;Тамбовкредитпромбанк;1312;Тамбовская обл.;5,15;2,64;2,51;
179;-10;Премиум;3514;Москва и обл.;5,07;5,65;-0,58;
180;-27;Бест Эффортс Банк;435;Москва и обл.;5,06;6,29;-1,23;
181;-8;Морской Банк;77;Москва и обл.;5,06;5,42;-0,36;
182;45;Синергия;2884;Саратовская обл.;4,99;3,09;1,90;
183;-3;Агророс;2860;Саратовская обл.;4,97;5,22;-0,25;
184;16;Мидзухо Банк;3337;Москва и обл.;4,95;4,07;0,88;
185;-9;Кредит Урал Банк;2584;Челябинская обл.;4,91;5,32;-0,41;
186;61;Совкомбанк;963;Костромская обл.;4,90;1,98;2,92;
187;32;Коммерческий Индо Банк;3446;Москва и обл.;4,85;3,32;1,53;
188;4;Заубер Банк;1614;Санкт-Петербург и обл.;4,84;4,27;0,57;
189;-75;Автоторгбанк;2776;Москва и обл.;4,82;9,75;-4,93;
190;-12;Майкопбанк;1136;Адыгея;4,72;5,25;-0,53;
191;-17;Енисейский Объединенный Банк;2645;Красноярский край;4,69;5,33;-0,64;
192;24;Московский Коммерческий Банк;3172;Москва и обл.;4,67;3,57;1,10;
193;-8;Новобанк;1352;Новгородская обл.;4,52;4,87;-0,35;
194;7;Первый Дортрансбанк;3271;Кировская обл.;4,50;4,03;0,47;
195;-12;Элплат;3535;Удмуртия;4,47;4,98;-0,51;
196;39;Нефтепромбанк;2156;Москва и обл.;4,35;2,81;1,54;
197;-1;Хоум Кредит Банк;316;Москва и обл.;4,35;4,17;0,18;
198;24;Банк Кредит Свисс;2494;Москва и обл.;4,33;3,21;1,12;
199;16;Новый Век;3417;Москва и обл.;4,18;3,62;0,56;
200;-11;Славянбанк;804;Новгородская обл.;4,15;4,47;-0,32;
201;-7;Газтрансбанк;665;Краснодарский край;4,05;4,26;-0,21;
202;-18;Алмазэргиэнбанк;2602;Саха (Якутия);3,99;4,96;-0,97;
203;-43;Донкомбанк;492;Ростовская обл.;3,96;6,00;-2,04;
204;-45;Агропромкредит;2880;Москва и обл.;3,92;6,03;-2,11;
205;7;Сибсоцбанк;2015;Алтайский край;3,86;3,69;0,17;
206;121;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;3,84;-2,60;6,44;
207;-51;Дойче Банк;3328;Москва и обл.;3,78;6,25;-2,47;
208;10;Чайна Констракшн;3515;Москва и обл.;3,78;3,43;0,35;
209;-14;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;3,75;4,21;-0,46;
210;-13;ВТБ;1000;Санкт-Петербург и обл.;3,73;4,12;-0,39;
211;35;Нейва;1293;Свердловская обл.;3,72;2,01;1,71;
212;-1;Объединенный Банк Республики;1016;Чувашия;3,72;3,75;-0,03;
213;-10;Трансстройбанк;2807;Москва и обл.;3,71;3,87;-0,16;
214;-23;АйСиБиСи Банк;3475;Москва и обл.;3,63;4,27;-0,64;
215;17;Крокус-Банк;2682;Москва и обл.;3,57;2,91;0,66;
216;-2;Новокиб;1747;Кемеровская обл.;3,51;3,65;-0,14;
217;11;Приобье;537;Ханты-Мансийский АО — Югра;3,50;3,04;0,46;
218;-19;Континенталь;3184;Ставропольский край;3,48;4,08;-0,60;
219;-2;Пересвет;2110;Москва и обл.;3,47;3,55;-0,08;
220;-27;Платина;2347;Москва и обл.;3,47;4,27;-0,80;
221;-17;ПэйПал Ру;3517;Москва и обл.;3,47;3,86;-0,39;
222;-58;Горбанк;2982;Санкт-Петербург и обл.;3,41;5,83;-2,42;
223;-15;Газпромбанк;354;Москва и обл.;3,39;3,79;-0,40;
224;16;Столичный Кредит;2853;Москва и обл.;3,32;2,51;0,81;
225;-20;Синко-Банк;2838;Москва и обл.;3,30;3,84;-0,54;
226;-5;Саммит Банк;85;Приморский край;3,26;3,26;0,00;
227;-21;Банк Заречье;817;Татарстан;3,20;3,81;-0,61;
228;100;ОТП Банк;2766;Москва и обл.;3,15;-2,62;5,77;
229;34;Газнефтьбанк;3223;Саратовская обл.;3,09;1,11;1,98;
230;0;Джей энд Ти Банк;3061;Москва и обл.;3,04;2,99;0,05;
231;-11;Банк Пермь;875;Пермская обл.;3,02;3,26;-0,24;
232;30;Московский Кредитный Банк;1978;Москва и обл.;3,02;1,21;1,81;
233;-24;Профессионал Банк;3296;Москва и обл.;2,93;3,78;-0,85;
234;14;Сельмашбанк;106;Ростовская обл.;2,88;1,91;0,97;
235;-2;Русьуниверсалбанк;3293;Москва и обл.;2,86;2,91;-0,05;
236;2;Космос;2245;Москва и обл.;2,66;2,62;0,04;
237;7;Банк Казани;708;Татарстан;2,64;2,10;0,54;
238;35;Ури Банк;3479;Москва и обл.;2,64;0,73;1,91;
239;-5;Актив Банк;2529;Мордовия;2,60;2,88;-0,28;
240;2;Петербургский Расчетный Центр;3306;Санкт-Петербург и обл.;2,57;2,29;0,28;
241;-43;Республиканский Кредитный Альянс;3017;Москва и обл.;2,51;4,12;-1,61;
242;-40;НС Банк;3124;Москва и обл.;2,48;3,88;-1,40;
243;-14;Русский Банк Сбережений;779;Ставропольский край;2,47;3,04;-0,57;
244;-120;Дж. П. Морган Банк;2629;Москва и обл.;2,43;8,81;-6,38;
245;10;Прокоммерцбанк;2996;Москва и обл.;2,33;1,54;0,79;
246;-7;Таганрогбанк;3136;Ростовская обл.;2,20;2,62;-0,42;
247;3;Национальная Факторинговая Компания;3437;Москва и обл.;2,14;1,79;0,35;
248;-23;Примтеркомбанк;21;Приморский край;2,13;3,15;-1,02;
249;28;Байкалкредобанк;2990;Иркутская обл.;2,09;0,52;1,57;
250;1;Костромаселькомбанк;1115;Костромская обл.;2,05;1,78;0,27;
251;-25;Капитал;575;Москва и обл.;1,90;3,11;-1,21;
252;-11;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;1,90;2,32;-0,42;
253;4;Национальный Стандарт;3421;Москва и обл.;1,80;1,52;0,28;
254;62;Русское Финансовое Общество;3427;Москва и обл.;1,62;-1,42;3,04;
255;46;Гарант-Инвест;2576;Москва и обл.;1,60;-0,48;2,08;
256;43;Северный Народный Банк;2721;Коми;1,58;-0,45;2,03;
257;8;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;1,51;1,06;0,45;
258;1;Химик;1114;Нижегородская обл.;1,48;1,26;0,22;
259;39;Почтобанк;1788;Пермская обл.;1,30;-0,44;1,74;
260;-2;Экси-Банк;2530;Санкт-Петербург и обл.;1,26;1,31;-0,05;
261;41;Ставропольпромстройбанк;1288;Ставропольский край;1,25;-0,53;1,78;
262;-1;Ишбанк;2867;Москва и обл.;1,24;1,22;0,02;
263;26;Соколовский;2830;Москва и обл.;1,18;0,11;1,07;
264;-4;Банк Оранжевый;1659;Санкт-Петербург и обл.;1,16;1,22;-0,06;
265;-20;Вкабанк;1027;Астраханская обл.;1,14;2,02;-0,88;
266;9;Далена Банк;1948;Москва и обл.;1,11;0,69;0,42;
267;1;Россельхозбанк;3349;Москва и обл.;0,94;0,86;0,08;
268;2;Великие Луки Банк;598;Псковская обл.;0,84;0,80;0,04;
269;-26;Промсельхозбанк;538;Москва и обл.;0,84;2,12;-1,28;
270;-46;Викинг;2;Санкт-Петербург и обл.;0,83;3,16;-2,33;
271;-35;Абсолют Банк;2306;Москва и обл.;0,81;2,69;-1,88;
272;14;Роскосмосбанк;2989;Москва и обл.;0,81;0,20;0,61;
273;-4;Единая Расчетная Палата;384;Москва и обл.;0,78;0,81;-0,03;
274;0;Банк Оренбург;3269;Оренбургская обл.;0,72;0,71;0,01;
275;43;Восточный Банк;1460;Амурская обл.;0,72;-1,72;2,44;
276;30;Банк Интеза;2216;Москва и обл.;0,64;-0,86;1,50;
277;27;Итуруп;2390;Сахалинская обл.;0,62;-0,77;1,39;
278;4;МВС Банк;2407;Дагестан;0,60;0,31;0,29;
279;-25;Инбанк;1829;Москва и обл.;0,51;1,54;-1,03;
280;-8;МСП Банк;3340;Москва и обл.;0,48;0,74;-0,26;
281;56;ФинТех;3499;Москва и обл.;0,48;-3,94;4,42;
282;-3;ПэйЮ;3518;Москва и обл.;0,43;0,48;-0,05;
283;-19;Банк РСИ;3415;Москва и обл.;0,42;1,06;-0,64;
