Регион: все регионы
Показатель: Рентабельность активов-нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
191;15;Яринтербанк;2564;Ярославская обл.;0,99;0,87;0,12;
192;4;Хоум Кредит Банк;316;Москва и обл.;0,98;0,93;0,05;
193;-15;Росдорбанк;1573;Москва и обл.;0,97;1,00;-0,03;
194;49;Тамбовкредитпромбанк;1312;Тамбовская обл.;0,97;0,49;0,48;
195;15;Мидзухо Банк;3337;Москва и обл.;0,96;0,80;0,16;
196;16;Крокус-Банк;2682;Москва и обл.;0,95;0,78;0,17;
197;-68;Республиканский Кредитный Альянс;3017;Москва и обл.;0,95;1,57;-0,62;
198;-39;Русский Банк Сбережений;779;Ставропольский край;0,95;1,17;-0,22;
199;-14;Новокиб;1747;Кемеровская обл.;0,93;0,96;-0,03;
200;-6;Мурманский Расчетный Центр;3341;Мурманская обл.;0,91;0,93;-0,02;
201;-1;Пересвет;2110;Москва и обл.;0,88;0,90;-0,02;
202;16;Банк Акцепт;567;Новосибирская обл.;0,86;0,73;0,13;
203;-19;Майкопбанк;1136;Адыгея;0,86;0,96;-0,10;
204;28;Столичный Кредит;2853;Москва и обл.;0,85;0,63;0,22;
205;-7;Новобанк;1352;Новгородская обл.;0,84;0,92;-0,08;
206;-31;Платина;2347;Москва и обл.;0,84;1,03;-0,19;
207;7;Чайна Констракшн;3515;Москва и обл.;0,84;0,76;0,08;
208;30;Сельмашбанк;106;Ростовская обл.;0,82;0,56;0,26;
209;-12;БКС Банк;101;Москва и обл.;0,81;0,92;-0,11;
210;-7;Земский Банк;2900;Самарская обл.;0,81;0,88;-0,07;
211;-28;Прио-Внешторгбанк;212;Рязанская обл.;0,81;0,97;-0,16;
212;-1;Элита;1399;Калужская обл.;0,81;0,79;0,02;
213;-6;Агророс;2860;Саратовская обл.;0,80;0,85;-0,05;
214;-1;Сибсоцбанк;2015;Алтайский край;0,79;0,76;0,03;
215;8;ФорБанк;2063;Москва и обл.;0,79;0,70;0,09;
216;14;ЮниКредит Банк;1;Москва и обл.;0,78;0,64;0,14;
